time,u,v,w,p,q,r,phi_deg,theta_deg,psi_deg,airspeed,alpha_deg
1.558522981571835650e-04,8.499989428289278237e+01,-2.321371734439044789e-06,1.693832660242184426e-04,4.822822431007377194e-07,-9.027757482341805355e-04,7.892972895203299239e-07,4.327936405295696658e-09,5.729573024160464989e+00,6.506546570051789630e-09,8.499989428306157890e+01,1.141759803961282641e-04
1.759223881488797508e-04,8.499988066917208585e+01,-2.620409302941603758e-06,1.905735250515032853e-04,4.862007620020473952e-07,-9.526395599733048381e-04,7.837603790798630011e-07,4.975532605786302179e-09,5.729571956533207278e+00,7.415546436814287125e-09,8.499988066938576026e+01,1.284596941360607078e-04
2.008212147477276915e-04,8.499986378012242483e+01,-2.991378605083870726e-06,2.167580897779737114e-04,4.910366521660057653e-07,-1.003670132011496262e-03,7.768556951135867314e-07,5.784287685875976013e-09,5.729570559809224584e+00,8.534323327002926634e-09,8.499986378039885437e+01,1.461099249722924243e-04
2.257200413465756321e-04,8.499984689112397973e+01,-3.362331463593480701e-06,2.428481987776073467e-04,4.958654219127698165e-07,-1.044966924051251135e-03,7.699414615909315598e-07,6.598946138732973144e-09,5.729569097487206442e+00,9.643191940913908876e-09,8.499984689147095196e+01,1.636964931254022602e-04
2.506188679454235727e-04,8.499983000217690687e+01,-3.733267868447415316e-06,2.688616970309470259e-04,5.006924646119621503e-07,-1.078483137324102916e-03,7.630253562678738645e-07,7.419501924325318471e-09,5.729567582008156634e+00,1.074214545349926388e-08,8.499983000260220933e+01,1.812314273117061880e-04
2.755176945442715133e-04,8.499981311328131994e+01,-4.104187817918293599e-06,2.948128487504655623e-04,5.055189420277695152e-07,-1.105780014250961740e-03,7.561090329541492579e-07,8.245953492107709225e-09,5.729566023316658985e+00,1.183118265991833033e-08,8.499981311379268334e+01,1.987243425706227513e-04
3.072087869812505697e-04,8.499979161726056986e+01,-4.576268931600115831e-06,3.277708945289931563e-04,5.116616093843178837e-07,-1.133469047026718904e-03,7.473061859823944414e-07,9.306383364873860199e-09,5.729563989286147851e+00,1.320296044540883721e-08,8.499979161789265447e+01,2.209404111036939562e-04
3.388998794182296261e-04,8.499977012132355014e+01,-5.048323388506950217e-06,3.606645175721726352e-04,5.178038600446610470e-07,-1.155086186531599892e-03,7.385036962187918551e-07,1.037636274167932940e-08,5.729561910752947185e+00,1.455867433676388543e-08,8.499977012208887572e+01,2.431130654516836117e-04
3.705909718552086824e-04,8.499974862547038867e+01,-5.520351189742607742e-06,3.935074780004742972e-04,5.239457092005305788e-07,-1.172137336638659618e-03,7.297015852415014894e-07,1.145589095181921596e-08,5.729559797310130875e+00,1.589832501146742538e-08,8.499974862638144657e+01,2.652515808658183747e-04
4.100471055889810530e-04,8.499972186275967090e+01,-6.107999329803601553e-06,4.343423051423953973e-04,5.315918936218158288e-07,-1.188669913889703333e-03,7.187432898005179298e-07,1.281327222595510889e-08,5.729557127970434927e+00,1.754377255616399533e-08,8.499972186386960971e+01,2.927772044784669606e-04
4.495032393227534236e-04,8.499969510017919561e+01,-6.695606155328435637e-06,4.751290428732310857e-04,5.392374596083619298e-07,-1.201455981972107505e-03,7.077855869493272530e-07,1.418545269271091225e-08,5.729554425740756685e+00,1.916432322282618056e-08,8.499969510150738472e+01,3.202704297745835918e-04
4.889593730565257399e-04,8.499966833772907648e+01,-7.283171668503634068e-06,5.158779188124777964e-04,5.468824072545765270e-07,-1.211614480851200184e-03,6.968284767393765460e-07,1.557243109004994915e-08,5.729551697751270822e+00,2.075997835764549887e-08,8.499966833929485688e+01,3.477381508612870011e-04
5.405318852010822673e-04,8.499963335713435697e+01,-8.051107325745677069e-06,5.690947046843402007e-04,5.568740697690528438e-07,-1.222203552013774149e-03,6.825074982149645922e-07,1.740763934551947641e-08,5.729548101310387054e+00,2.280810021845526006e-08,8.499963335903984785e+01,3.836101808130049713e-04
5.921043973456387947e-04,8.499959837676264840e+01,-8.818972410668621812e-06,6.222696063421406147e-04,5.668646760232062709e-07,-1.230797048379198705e-03,6.681875321041340160e-07,1.926812445834277328e-08,5.729544476755235927e+00,2.481369409944830674e-08,8.499959837904087578e+01,4.194540073471909295e-04
6.569668912347643042e-04,8.499955438243867434e+01,-9.784612349465127070e-06,6.890981257955512435e-04,5.794283126736035988e-07,-1.239883350911007501e-03,6.501788186819666238e-07,2.164392977279030328e-08,5.729539885346510708e+00,2.727574532630525874e-08,8.499955438523251416e+01,4.645014266775079176e-04
7.218293851238898138e-04,8.499951038846789686e+01,-1.075014067461980085e-05,7.558790261532831976e-04,5.919902787909165893e-07,-1.247847923357150567e-03,6.321717064093699878e-07,2.405970788340015559e-08,5.729535262455164535e+00,2.967053665877443431e-08,8.499951039182948875e+01,5.095167939435104416e-04
8.083328838014150128e-04,8.499945171670722743e+01,-1.203763840475845673e-05,8.448744338159133293e-04,6.087408746326822908e-07,-1.257544847420849835e-03,6.081591141129834779e-07,2.734368973111604505e-08,5.729529053424735174e+00,3.275968207211741885e-08,8.499945172090700396e+01,5.695064885347695012e-04
9.124541955835239202e-04,8.499938109634389605e+01,-1.358709229652787168e-05,9.519010211145389425e-04,6.288990558759043695e-07,-1.268545139253144218e-03,5.792597514009498320e-07,3.139076481924821239e-08,5.729521518228569477e+00,3.631935871267512281e-08,8.499938110167511240e+01,6.416506840203619558e-04
1.043008251309352017e-03,8.499929254924005306e+01,-1.552949184910581613e-05,1.085958371807257006e-03,6.541686104992518874e-07,-1.281920747918036726e-03,5.430296828891292379e-07,3.661071464843691842e-08,5.729511979066231220e+00,4.053789636790944425e-08,8.499929255617861656e+01,7.320158740382994500e-04
1.215756065997075554e-03,8.499917538680962537e+01,-1.809896078750649522e-05,1.263107731648702202e-03,6.875946338490100307e-07,-1.299378093317706548e-03,4.951003832999501883e-07,4.376639042613848549e-08,5.729499204457407124e+00,4.570123330301908019e-08,8.499917539619659124e+01,8.514287551513956189e-04
